sl_no,state,year,tb_cases,outbreak_label,e_inc_100k,e_mort_100k,c_cdr,log_tb_cases,year_trend,state_burden_rank,state_mean,state_std
20,Madhya Pradesh,2021,166346,1,196.0,23.0,71.0,12.0218312470189,1,3.0,140719.5,49613.80194058907
21,Maharashtra,2021,199976,1,196.0,23.0,71.0,12.205957638917166,1,2.0,170989.75,61850.877047810194
22,Manipur,2021,1793,0,196.0,23.0,71.0,7.492203042618741,1,30.0,1702.5,682.3266568636071
23,Meghalaya,2021,4152,0,196.0,23.0,71.0,8.331586243630754,1,24.0,3834.25,1249.7870151883212
24,Mizoram,2021,1749,0,196.0,23.0,71.0,7.4673710669175595,1,31.0,1787.25,588.5271871375187
25,Nagaland,2021,3648,0,196.0,23.0,71.0,8.202208436436448,1,25.0,3289.0,967.372730647293
26,Odisha,2021,52381,0,196.0,23.0,71.0,10.86631829984518,1,14.0,46080.0,14717.654364741686
27,Puducherry,2021,3444,0,196.0,23.0,71.0,8.144679183447758,1,26.0,2673.25,1418.5728450335805
28,Punjab,2021,50142,0,196.0,23.0,71.0,10.82263420239148,1,16.0,44072.5,13360.349833244138
29,Rajasthan,2021,149225,1,196.0,23.0,71.0,11.913217214304396,1,4.0,131328.0,43483.4056700561
30,Sikkim,2021,1373,0,196.0,23.0,71.0,7.2254814727822945,1,32.0,1177.25,375.93649729708346
31,Tamil Nadu,2021,82823,1,196.0,23.0,71.0,11.324473153445949,1,10.0,71982.25,22836.250821519134
32,Telangana,2021,60714,0,196.0,23.0,71.0,11.01394606348792,1,13.0,56989.5,18051.605219481175
33,Tripura,2021,2543,0,196.0,23.0,71.0,7.841492924460013,1,28.0,2276.25,665.1563099502753
34,Uttar Pradesh,2021,453712,1,196.0,23.0,71.0,13.025220118536687,1,1.0,399297.75,116056.67559250236
35,Uttarakhand,2021,22789,0,196.0,23.0,71.0,10.03407712223973,1,19.0,20329.5,6971.958715693412
36,West Bengal,2021,90487,1,196.0,23.0,71.0,11.412972524211217,1,8.0,78677.0,24662.037344874814
1,Andaman and Nicobar Islands,2022,534,0,196.0,23.0,81.0,6.282266746896006,2,34.0,453.5,108.11259562758323
2,Andhra Pradesh,2022,92187,1,196.0,23.0,81.0,11.43158524923038,2,10.0,70173.25,24898.863673870743
3,Arunachal Pradesh,2022,2863,0,196.0,23.0,81.0,7.9599745280805365,2,28.0,2308.75,800.8326396112153
4,Assam,2022,47822,0,196.0,23.0,81.0,10.775261974301756,2,17.0,35469.75,10988.60092322949
