state,year,outbreak,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16
Uttar Pradesh,2020,1,0.0,0.0,0.0,6.92663,9.490346,7.242589,0.0,0.0,10.942056,0.0,0.0,0.0,9.884973,9.00805,0.0,0.0
Uttarakhand,2020,0,3.3492978,2.9504654,4.470603,0.0,0.0,0.0,3.8242579,3.3825395,0.0,3.5778947,3.7021153,3.5278108,0.0,0.0,2.7299595,3.4735017
West Bengal,2020,1,0.890612,0.65412164,1.1032584,1.8612225,2.1687915,1.8218793,1.2273761,1.1526043,2.6669815,1.1039253,1.2454145,1.1133853,2.5874748,2.0644948,0.83848983,0.5765637
Andaman and Nicobar Islands,2021,0,8.117865,7.2042184,10.966373,0.0,0.0,0.0,9.782811,8.473283,0.0,8.643978,9.25171,8.926271,0.0,0.0,6.470905,8.209758
Andhra Pradesh,2021,1,0.0,0.0,0.0,1.9310832,2.7471337,2.048085,0.0,0.0,3.1629915,0.0,0.0,0.0,2.8852124,2.567309,0.0,0.0
Arunachal Pradesh,2021,0,5.9530673,5.280697,7.9387603,0.0,0.0,0.0,6.9824524,6.085508,0.0,6.2749147,6.6653605,6.39987,0.0,0.0,4.7657003,6.0511427
Assam,2021,0,5.2060504,4.432837,6.941168,0.0,0.0,0.0,6.289622,5.446445,0.0,5.662743,6.133097,5.7690926,0.0,0.0,4.2721205,5.1008162
Bihar,2021,1,0.0,0.0,0.0,2.2138,3.1645274,2.3284402,0.0,0.0,3.6336617,0.0,0.0,0.0,3.2969358,3.029254,0.0,0.0
Chandigarh,2021,0,5.9438477,5.198222,7.9257164,0.0,0.0,0.0,7.0239615,6.1087713,0.0,6.3004527,6.740968,6.4369273,0.0,0.0,4.7715306,5.96317
Chhattisgarh,2021,0,1.9395542,1.8246025,2.4183013,0.0,0.0,0.0,1.9606855,1.7071148,0.0,1.9387469,1.957059,1.8388209,0.0,0.0,1.5914664,2.1414225
Dadra and Nagar Haveli and Daman and Diu,2021,0,7.891152,6.9789977,10.636645,0.0,0.0,0.0,9.47896,8.218228,0.0,8.397163,8.986064,8.657072,0.0,0.0,6.294279,7.970271
Delhi,2021,1,0.0,0.0,0.0,2.773664,3.9163504,2.8724828,0.0,0.0,4.4925966,0.0,0.0,0.0,4.032102,3.6879544,0.0,0.0
Goa,2021,0,3.3665853,3.165125,4.444828,0.0,0.0,0.0,3.6692822,3.269598,0.0,3.5080574,3.5861888,3.4028082,0.0,0.0,2.7479174,3.7055335
Gujarat,2021,1,0.0,0.0,0.0,4.172562,5.747397,4.2453346,0.0,0.0,6.6180944,0.0,0.0,0.0,5.8963146,5.4690485,0.0,0.0
Haryana,2021,0,0.82186794,0.8176313,0.85073525,0.6342654,1.0281637,0.75114393,0.71115124,0.6451578,1.2090898,0.7597742,0.8123309,0.7041876,1.0351658,0.882516,0.6898233,0.9056485
Himachal Pradesh,2021,0,2.408125,2.250905,3.0523648,0.0,0.0,0.0,2.4765115,2.2007706,0.0,2.4235866,2.4545693,2.3209941,0.0,0.0,1.9607906,2.6434855
Jammu and Kashmir,2021,0,5.712889,4.982321,7.586436,0.0,0.0,0.0,6.71969,5.843272,0.0,6.048278,6.48178,6.1638637,0.0,0.0,4.5983644,5.7252502
Jharkhand,2021,0,1.4175808,1.3717599,1.7007967,0.016165838,0.16919483,0.113798775,1.3871385,1.2134894,0.20930907,1.4066914,1.4379227,1.3023685,0.089926824,0.0,1.1780815,1.5958301
Karnataka,2021,1,0.0,0.0,0.0,1.8505864,2.6162302,1.9847603,0.0,0.0,3.0320456,0.0,0.0,0.0,2.7694511,2.408637,0.0,0.0
Kerala,2021,0,2.6810796,2.4108331,3.4596326,0.0,0.0,0.0,2.878386,2.5487397,0.0,2.7810144,2.838089,2.6846943,0.0,0.0,2.1924787,2.8443
Ladakh,2021,0,8.339467,7.4196925,11.285279,0.0,0.0,0.0,10.0756645,8.720244,0.0,8.885378,9.511124,9.186976,0.0,0.0,6.644317,8.44235
Lakshadweep,2021,0,9.033255,8.09118,12.303872,0.0,0.0,0.0,11.030418,9.518178,0.0,9.644075,10.332374,10.0253525,0.0,0.0,7.177645,9.135358
Madhya Pradesh,2021,1,0.0,0.0,0.0,4.830168,6.641324,4.9174094,0.0,0.0,7.6478915,0.0,0.0,0.0,6.797412,6.31839,0.0,0.0
Maharashtra,2021,1,0.0,0.0,0.0,3.5233555,4.878548,3.635368,0.0,0.0,5.628705,0.0,0.0,0.0,5.0689344,4.722794,0.0,0.0
Manipur,2021,0,6.706723,5.9554253,8.993507,0.0,0.0,0.0,7.9437804,6.913876,0.0,7.0994215,7.5597734,7.270008,0.0,0.0,5.3626685,6.8171515
Meghalaya,2021,0,5.2047305,4.610966,6.889312,0.0,0.0,0.0,6.026134,5.2608013,0.0,5.4540753,5.775258,5.533771,0.0,0.0,4.1723723,5.289526
Mizoram,2021,0,6.8308644,6.0756845,9.166936,0.0,0.0,0.0,8.096904,7.046447,0.0,7.2336974,7.702487,7.409104,0.0,0.0,5.4622707,6.9549274
Nagaland,2021,0,6.128396,5.380609,8.178166,0.0,0.0,0.0,7.235965,6.296219,0.0,6.48498,6.9216623,6.629496,0.0,0.0,4.908516,6.1686916
Odisha,2021,0,1.0033722,0.97898465,1.1491829,0.4637185,0.7659044,0.5746243,0.9359405,0.85201216,0.9150065,0.9754983,1.0213709,0.9077459,0.7607926,0.57210135,0.8443029,1.1316197
Puducherry,2021,0,6.532848,5.7292256,8.742067,0.0,0.0,0.0,7.762122,6.7454925,0.0,6.9349294,7.419758,7.1062,0.0,0.0,5.2323804,6.566927
Punjab,2021,0,1.5672199,1.5111343,1.909165,0.0,0.0,0.0,1.5557125,1.3529117,0.0,1.5585071,1.5955998,1.4640086,0.0,0.0,1.3040192,1.76286
Rajasthan,2021,1,0.0,0.0,0.0,3.845042,5.306423,3.9218187,0.0,0.0,6.11151,0.0,0.0,0.0,5.4613757,5.062479,0.0,0.0
Sikkim,2021,0,4.7877994,4.4473724,6.4036193,0.0,0.0,0.0,5.4759035,4.809938,0.0,5.028794,5.239136,5.032352,0.0,0.0,3.873453,5.122006
Tamil Nadu,2021,1,0.0,0.0,0.0,1.7626398,2.500594,1.8740933,0.0,0.0,2.9163542,0.0,0.0,0.0,2.6728675,2.332736,0.0,0.0
Telangana,2021,0,0.5865589,0.58837324,0.5678492,0.9093734,1.3745948,1.0331317,0.46410218,0.4665948,1.6231709,0.52648956,0.58843225,0.49439827,1.4330956,1.1848598,0.5006502,0.65691173
Tripura,2021,0,6.1086044,5.427014,8.156584,0.0,0.0,0.0,7.1779523,6.2540803,0.0,6.4443064,6.8471174,6.5772285,0.0,0.0,4.88988,6.217954
Uttar Pradesh,2021,1,0.0,0.0,0.0,7.399021,10.161086,7.601363,0.0,0.0,11.7307825,0.0,0.0,0.0,10.464948,9.779203,0.0,0.0
Uttarakhand,2021,0,2.1439009,2.0003412,2.6889443,0.0,0.0,0.0,2.1811578,1.9200811,0.0,2.145384,2.164076,2.046072,0.0,0.0,1.7488003,2.3507102
West Bengal,2021,1,0.0,0.0,0.0,2.7120752,3.6810277,2.7847137,0.0,0.0,4.2666693,0.0,0.0,0.0,3.856437,3.4756923,0.0,0.0
Andaman and Nicobar Islands,2022,0,10.098666,8.880702,13.639274,0.0,0.0,0.0,12.266957,10.602478,0.0,10.765128,11.639315,11.170626,0.0,0.0,8.0463705,10.08456
