shap_tb_cases,shap_e_inc_100k,shap_e_mort_100k,shap_c_cdr,shap_log_tb_cases,shap_state_burden_rank,shap_year_trend,shap_state_mean,shap_state_std,state,year,outbreak_label,pred_prob
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Andaman and Nicobar Islands,2020,0,0.0
-0.23002537129710543,0.0,0.0,-0.008967281288505543,-0.16631591713047802,0.022208451556239604,-0.004108466696038206,0.04932706790501347,0.050952375916469866,Andhra Pradesh,2020,0,0.21103138528138526
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Arunachal Pradesh,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Assam,2020,0,0.0
0.19051189387041215,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.05104745893034541,-0.0015182090005173522,0.06760453097514407,0.07261355872005883,Bihar,2020,1,1.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Chandigarh,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Chhattisgarh,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Dadra and Nagar Haveli and Daman and Diu,2020,0,0.0
0.19051189387041215,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.04672206210494858,-0.0038594788417871924,0.06760453097514407,0.07261355872005883,Delhi,2020,1,0.9933333333333333
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Goa,2020,0,0.0
0.19051189387041215,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.05104745893034541,-0.0015182090005173522,0.06760453097514407,0.07261355872005883,Gujarat,2020,1,1.0
-0.22574249787401052,0.0,0.0,-0.008967281288505543,-0.1577263930894232,-0.012730047352369465,-0.005117927848920412,0.0378535655050315,0.02021139762375011,Haryana,2020,0,0.14574134199134198
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Himachal Pradesh,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Jammu and Kashmir,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04370014920233829,-0.0017237977189350185,-0.058932404901474084,-0.06083912685579485,Jharkhand,2020,0,0.002857142857142857
-0.23227386693232877,0.0,0.0,-0.008967281288505543,-0.16631591713047802,0.020413807942374018,-0.007595308801301364,0.04432305218389248,0.03725982176539169,Karnataka,2020,0,0.18480483405483406
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Kerala,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Ladakh,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Lakshadweep,2020,0,0.0
0.19051189387041215,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.05104745893034541,-0.0015182090005173522,0.06760453097514407,0.07261355872005883,Madhya Pradesh,2020,1,1.0
0.19051189387041215,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.05104745893034541,-0.0015182090005173522,0.06760453097514407,0.07261355872005883,Maharashtra,2020,1,1.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Manipur,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Meghalaya,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Mizoram,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Nagaland,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04144216048053378,-0.0017237977189350185,-0.057837480089444004,-0.05804124673883578,Odisha,2020,0,0.009007936507936506
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Puducherry,2020,0,0.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.0412471416835413,-0.0017237977189350185,-0.06065154650548411,-0.060263468961058005,Punjab,2020,0,0.004166666666666667
0.19051189387041215,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.05104745893034541,-0.0015182090005173522,0.06760453097514407,0.07261355872005883,Rajasthan,2020,1,1.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Sikkim,2020,0,0.0
-0.17598312738019636,0.0,0.0,-0.008967281288505543,-0.15631591713047802,0.03558662311037532,-0.006016361432880312,0.05353883201809337,0.04137516621626246,Tamil Nadu,2020,0,0.2811784604284604
-0.2163162690414286,0.0,0.0,-0.0075874111586354135,-0.14340260150986642,0.007574662273475592,-0.005117927848920412,-0.012152430198056615,-0.03729079991460873,Telangana,2020,0,0.08366774891774892
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Tripura,2020,0,0.0
0.19051189387041215,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.05104745893034541,-0.0015182090005173522,0.06760453097514407,0.07261355872005883,Uttar Pradesh,2020,1,1.0
-0.1973594421072925,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.044405036420383404,-0.0017237977189350185,-0.06108466054057183,-0.06083912685579485,Uttarakhand,2020,0,0.0
0.19051189387041215,0.0,0.0,-0.0028817549727160707,0.11999265134740277,0.04672206210494858,-0.005397940380248731,0.06771991559052869,0.06394684969808666,West Bengal,2020,1,0.9785742035742037
-0.19967076286200947,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04484714168354129,-0.0007095021358427511,-0.06108466054057183,-0.059099996421012234,Andaman and Nicobar Islands,2021,0,0.0
0.1932005731156952,0.0,0.0,-0.0028817549727160707,0.1232821250316133,0.04675113478665284,-0.0032476798848757637,0.06276353425256842,0.061554658238389466,Andhra Pradesh,2021,1,0.9793831168831169
-0.19967076286200947,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04484714168354129,-0.0007095021358427511,-0.06108466054057183,-0.059099996421012234,Arunachal Pradesh,2021,0,0.0
-0.19967076286200947,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04484714168354129,-0.0007095021358427511,-0.06108466054057183,-0.059099996421012234,Assam,2021,0,0.0
0.1932005731156952,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.05060535366718751,-0.0005039134174250853,0.06760453097514407,0.06935268915484147,Bihar,2021,1,1.0
-0.19967076286200947,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04484714168354129,-0.0007095021358427511,-0.06108466054057183,-0.059099996421012234,Chandigarh,2021,0,0.0
-0.19967076286200947,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04484714168354129,-0.0007095021358427511,-0.06108466054057183,-0.059099996421012234,Chhattisgarh,2021,0,0.0
-0.19967076286200947,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04484714168354129,-0.0007095021358427511,-0.06108466054057183,-0.059099996421012234,Dadra and Nagar Haveli and Daman and Diu,2021,0,0.0
0.1932005731156952,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.04961329017512402,0.00048815007463840713,0.06760453097514407,0.06935268915484147,Delhi,2021,1,1.0
-0.19967076286200947,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04484714168354129,-0.0007095021358427511,-0.06108466054057183,-0.059099996421012234,Goa,2021,0,0.0
0.1932005731156952,0.0,0.0,-0.0015018848428459412,0.1232821250316133,0.05060535366718751,-0.0005039134174250853,0.06760453097514407,0.06935268915484147,Gujarat,2021,1,1.0
-0.21013390451171193,0.0,0.0,-0.008967281288505543,-0.15095326785150925,0.006367716827669297,-0.004103632265828145,0.03590230688710622,0.019494274703728637,Haryana,2021,0,0.1855667388167388
-0.19967076286200947,0.0,0.0,-0.0015018848428459412,-0.13104657782996595,-0.04484714168354129,-0.0007095021358427511,-0.06108466054057183,-0.059099996421012234,Himachal Pradesh,2021,0,0.0
